A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
URWW,VOG,GUMRAK,VOLGOGRAD,RUSSIA,048,046,056,N,044,020,041,E,00147,48.782,44.345
USCC,CEK,BALANDINO,CHELYABINSK,RUSSIA,055,018,012,N,061,030,024,E,00235,55.303,61.507
USCM,MQF,MAGNITOGORSK,MAGNETIOGORSK,RUSSIA,053,023,036,N,058,045,036,E,00436,53.393,58.760
USDD,0000,SALEKHARD,SALEKHARD,RUSSIA,066,035,024,N,066,036,037,E,00067,66.590,66.610
USDH,0000,0000,KHARASAVEY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USDS,0000,0000,TARKO-SALE,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USDT,0000,0000,TAZOVSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USHB,0000,0000,BERYZOVO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USHH,0000,0000,KHANTY-MANSIYSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USHS,0000,0000,SOVETSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USKD,0000,0000,KAMENNY MYS,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USKK,KVX,0000,KIROV,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USMM,0000,0000,NADYM,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USNL,0000,0000,LARYAK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USNN,NJC,NIZHNEVARTOVSK,NIZHNEVARTOVSK,RUSSIA,060,057,000,N,076,028,000,E,00000,60.950,76.467
USPP,PEE,BOLSHOYE SAVINO,PERM,RUSSIA,057,055,000,N,056,001,032,E,00124,57.917,56.026
USRR,SGC,SURGUT,SURGUT,RUSSIA,061,015,000,N,073,030,000,E,00061,61.250,73.500
USSE,0000,0000,SEVEROURALSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USSS,SVX,KOLTSOVO,SVERDLOVSK,RUSSIA,056,044,029,N,060,048,013,E,00233,56.741,60.804
USTO,TOX,CABOOL MEM,TOBOLSK,RUSSIA,037,007,056,N,092,005,002,W,00372,37.132,-92.084
USTT,0000,0000,TUMEN,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
USUU,KRO,KURGAN,KURGAN,RUSSIA,055,028,030,N,065,024,053,E,00077,55.475,65.415
UTAA,ASB,ASHGABAT,ASHKHABAD,RUSSIA,037,059,030,N,058,021,048,E,00211,37.992,58.363
UTAK,KRW,TURKMENBASHI AIRPORT,KRASNOVODSK,RUSSIA,040,002,000,N,052,059,000,E,00000,40.033,52.983
UTAV,0000,TURKMENABAT,CHARDZHOU,RUSSIA,039,005,000,N,063,036,048,E,00020,39.083,63.613
UTDD,DYU,DUSHANBE,DUSHANBE,RUSSIA,038,032,036,N,068,049,030,E,00785,38.543,68.825
UTDO,0000,0000,OKTYABRSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UTED,0000,0000,DZHIZHAK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UTKK,0000,0000,KOKAND,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
